2025-01-15 09:00:01 4624 192.168.1.10 jsmith Success
2025-01-15 09:00:15 4624 192.168.1.11 adavis Success
2025-01-15 09:01:00 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:01 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:02 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:03 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:04 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:05 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:06 4625 10.0.0.5 administrator Failure
2025-01-15 09:01:07 4625 10.0.0.5 administrator Failure
2025-01-15 09:02:00 4740 10.0.0.5 administrator Failure
2025-01-15 09:03:00 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:03:01 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:03:02 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:03:03 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:03:04 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:03:05 4625 172.16.0.50 svcaccount Failure
2025-01-15 09:05:00 4624 192.168.1.12 mwilson Success
2025-01-15 09:06:00 4720 192.168.1.99 newuser01 Success
2025-01-15 09:07:00 4648 10.10.10.5 backdooruser Success
2025-01-15 09:08:00 4624 192.168.1.13 tlee Success
2025-01-15 09:09:00 4719 192.168.1.99 SYSTEM Success
